amfi_code,n_days,annualised_return_pct,std_dev_ann_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,beta,alpha_ann_pct,r_squared,benchmark_used,max_drawdown_pct,var_95_daily_pct,cvar_95_daily_pct,scheme_name,fund_house,sub_category,expense_ratio_pct,risk_category
100016,1149,2.54,14.55,-2.22,1.29,,-0.202,-0.206,-0.058,3.75,0.003,NIFTY100,-24.73,-1.44,-1.81,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,1.55,Moderate
100025,1149,4.3,3.91,3.7,3.92,,-0.567,-0.568,-0.016,4.45,0.0,CRISIL_GILT,-4.31,-0.38,-0.5,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.56,Low
100033,1149,28.93,18.94,53.23,32.44,,1.094,1.122,0.031,26.33,0.001,NIFTY_MIDCAP150,-16.22,-1.9,-2.35,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,1.38,High
101206,1149,22.63,14.57,47.92,28.97,,1.027,1.069,0.021,21.4,0.0,NIFTY100,-11.29,-1.33,-1.74,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,1.6,Moderate
101207,1149,7.65,25.8,-23.99,-4.15,,0.163,0.166,-0.049,11.97,0.002,BSE_SMALLCAP,-35.45,-2.6,-3.25,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,1.53,Very High
101208,1149,6.27,0.51,7.24,6.32,,-0.816,-0.79,-0.03,6.28,0.001,CRISIL_LIQUID,-0.16,-0.03,-0.04,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,0.79,Low
102885,1149,17.54,12.84,20.21,19.67,,0.817,0.842,-0.002,16.99,0.0,NIFTY50,-10.86,-1.26,-1.55,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,1.57,Moderate
102886,1149,1.13,18.13,-16.8,-0.77,,-0.206,-0.202,-0.049,4.15,0.002,NIFTY_MIDCAP150,-28.0,-1.92,-2.33,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,1.51,High
102887,1149,16.21,15.76,13.58,25.56,,0.62,0.647,-0.015,16.58,0.0,NIFTY500,-21.54,-1.52,-1.94,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,1.64,Moderately High
118632,1149,23.12,14.15,33.98,22.65,,1.082,1.105,-0.008,21.83,0.0,NIFTY100,-17.41,-1.4,-1.76,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,1.51,Moderate
118633,1149,15.66,14.0,25.54,21.09,,0.645,0.681,-0.037,15.64,0.001,NIFTY100,-18.63,-1.34,-1.66,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,0.72,Moderate
118634,1149,15.76,25.24,15.81,8.01,,0.448,0.451,0.0,17.82,0.0,BSE_SMALLCAP,-23.34,-2.54,-3.23,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,1.53,Very High
118635,1149,15.36,12.98,22.49,20.01,,0.665,0.683,-0.014,15.16,0.0,NIFTY50,-11.65,-1.26,-1.62,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,0.89,Moderate
118636,1149,5.13,3.99,10.45,4.06,,-0.357,-0.355,-0.01,5.18,0.0,CRISIL_GILT,-8.32,-0.38,-0.49,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,0.55,Low
119092,1149,6.14,13.95,1.61,0.53,,0.031,0.031,0.01,6.9,0.0,NIFTY100,-14.4,-1.37,-1.73,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,1.64,Moderate
119093,1149,7.61,13.98,19.77,20.82,,0.13,0.129,0.026,8.23,0.001,NIFTY100,-21.75,-1.42,-1.75,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,0.75,Moderate
119094,1149,27.1,19.41,22.26,35.11,,0.998,1.049,-0.037,26.93,0.001,NIFTY_MIDCAP150,-20.96,-1.85,-2.43,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,1.38,High
119095,1149,1.47,25.07,-42.8,-11.71,,-0.076,-0.077,-0.046,5.79,0.002,BSE_SMALLCAP,-51.68,-2.62,-3.17,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,1.38,Very High
119120,1149,5.68,3.97,5.52,5.84,,-0.227,-0.227,-0.001,5.61,0.0,CRISIL_GILT,-4.33,-0.39,-0.5,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,0.77,Low
119551,1149,24.8,13.74,60.44,30.46,,1.208,1.262,-0.032,23.2,0.001,NIFTY100,-15.01,-1.28,-1.64,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,1.54,Moderate
119552,1149,20.7,13.94,5.71,16.27,,0.953,0.978,-0.026,19.87,0.001,NIFTY100,-11.8,-1.35,-1.73,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,0.66,Moderate
119598,1149,31.13,25.14,82.78,26.67,,0.945,0.987,-0.048,31.51,0.002,BSE_SMALLCAP,-28.71,-2.45,-3.06,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,1.43,Very High
119599,1149,1.98,24.95,13.95,-1.34,,-0.057,-0.057,0.011,4.78,0.0,BSE_SMALLCAP,-52.57,-2.69,-3.24,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,0.72,Very High
120503,1149,18.07,13.88,8.49,13.98,,0.798,0.819,-0.04,17.7,0.001,NIFTY100,-13.9,-1.36,-1.75,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,1.42,Moderate
120504,1149,22.39,14.36,13.06,32.49,,1.027,1.045,0.016,21.19,0.0,NIFTY100,-12.59,-1.37,-1.75,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,0.8,Moderate
120505,1149,31.51,19.29,29.6,31.78,,1.18,1.239,-0.002,29.31,0.0,NIFTY_MIDCAP150,-18.19,-1.89,-2.43,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,1.36,High
120506,1149,16.44,15.23,41.82,18.42,,0.649,0.662,0.055,15.21,0.002,NIFTY500,-19.83,-1.44,-1.94,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,1.41,Moderately High
120507,1149,6.98,0.49,7.43,7.39,,0.496,0.499,0.06,6.37,0.004,CRISIL_LIQUID,-0.1,-0.02,-0.04,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,0.74,Low
120841,1149,13.03,13.46,16.84,17.27,,0.494,0.501,0.036,13.04,0.001,NIFTY100,-17.57,-1.31,-1.64,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,1.59,Moderate
120842,1149,6.46,17.89,22.5,7.76,,0.076,0.075,-0.035,8.85,0.001,NIFTY_MIDCAP150,-24.0,-1.82,-2.27,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,1.56,High
120843,1149,29.68,15.89,26.66,29.58,,1.307,1.382,-0.025,27.79,0.0,NIFTY500,-12.97,-1.45,-1.84,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,1.45,Moderately High
120844,1149,6.67,0.51,7.12,6.7,,-0.089,-0.088,0.024,6.3,0.001,CRISIL_LIQUID,-0.12,-0.03,-0.04,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,0.6,Low
125497,1149,18.29,14.67,28.68,18.43,,0.776,0.806,0.049,17.73,0.002,NIFTY100,-15.2,-1.46,-1.83,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,0.92,Moderate
125498,1149,10.88,18.35,15.44,11.25,,0.301,0.3,0.059,10.34,0.003,NIFTY_MIDCAP150,-21.12,-1.84,-2.31,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,0.78,High
148567,1149,29.74,14.19,20.36,34.0,,1.448,1.462,0.024,26.98,0.0,NIFTY100,-11.27,-1.36,-1.76,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,1.46,Moderate
148568,1149,21.65,15.43,14.27,14.75,,0.926,0.954,0.013,20.52,0.0,NIFTY500,-15.27,-1.47,-1.88,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,1.52,Moderately High
148569,1149,30.67,17.67,39.75,29.18,,1.235,1.302,0.038,27.51,0.001,NIFTY500,-16.4,-1.71,-2.13,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,1.6,High
149322,1149,12.89,14.35,18.11,18.04,,0.464,0.468,-0.004,13.17,0.0,NIFTY100,-14.84,-1.45,-1.84,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,1.54,Moderate
149323,1149,28.41,17.75,21.48,26.87,,1.132,1.135,-0.011,26.91,0.0,NIFTY_MIDCAP150,-17.25,-1.79,-2.26,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,1.61,High
149324,1149,31.0,24.84,65.14,27.0,,0.95,0.987,0.029,29.35,0.001,BSE_SMALLCAP,-31.17,-2.35,-3.1,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,1.52,Very High
