amfi_code,HHI,scheme_name
119092,2968.2845272225995,Axis Bluechip Fund - Regular - Growth
148569,2550.939673831946,Mirae Asset Tax Saver Fund - Regular - Growth
125498,2531.5500000000006,HDFC Mid-Cap Opportunities Fund - Direct - Growth
102887,2513.3228103047113,UTI Flexi Cap Fund - Regular - Growth
149323,2410.7663999999995,DSP Midcap Fund - Regular - Growth
120505,2385.9959061976842,ICICI Pru Midcap Fund - Regular - Growth
118635,2375.442764798533,Nippon India ETF Nifty 50 BeES
119599,2323.612000000001,SBI Small Cap Fund - Direct Plan - Growth
120506,2313.717820323158,ICICI Pru Value Discovery Fund - Regular - Growth
100033,2276.4744,HDFC Mid-Cap Opportunities Fund - Regular - Growth
119552,2274.628551543406,SBI Bluechip Fund - Direct Plan - Growth
101207,2227.7106198468628,ABSL Small Cap Fund - Regular - Growth
118633,2212.0031999999997,Nippon India Large Cap Fund - Direct - Growth
120504,2211.6879402950613,ICICI Pru Bluechip Fund - Direct - Growth
148568,2181.29473713448,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120841,2158.4997784593106,Kotak Bluechip Fund - Regular - Growth
118632,2071.760612884422,Nippon India Large Cap Fund - Regular - Growth
148567,2012.884056682496,Mirae Asset Large Cap Fund - Regular - Growth
149324,1887.0081999999998,DSP Small Cap Fund - Regular - Growth
119598,1881.224726132979,SBI Small Cap Fund - Regular Plan - Growth
119093,1842.3319999999999,Axis Bluechip Fund - Direct - Growth
149322,1827.3187454759081,DSP Top 100 Equity Fund - Regular - Growth
120503,1821.6750000000002,ICICI Pru Bluechip Fund - Regular - Growth
102885,1807.1201999999998,UTI Nifty 50 Index Fund - Regular - Growth
100016,1805.8808,HDFC Top 100 Fund - Regular Plan - Growth
101206,1800.062469505474,ABSL Frontline Equity Fund - Regular - Growth
119094,1750.6523520230717,Axis Midcap Fund - Regular - Growth
125497,1724.1087999999997,HDFC Top 100 Fund - Direct Plan - Growth
120842,1620.9430724050499,Kotak Emerging Equity Fund - Regular - Growth
118634,1602.9924000000003,Nippon India Small Cap Fund - Regular - Growth
119095,1596.1421124610706,Axis Small Cap Fund - Regular - Growth
119551,1424.9103999999998,SBI Bluechip Fund - Regular Plan - Growth
120843,1362.0616,Kotak Flexicap Fund - Regular - Growth
102886,1240.6986298239847,UTI Mid Cap Fund - Regular - Growth
