amfi_code,scheme_name,var_95_daily_pct,cvar_95_daily_pct,max_drawdown_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,-1.44,-1.81,-24.73
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.38,-0.5,-4.31
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-1.9,-2.35,-16.22
101206,ABSL Frontline Equity Fund - Regular - Growth,-1.33,-1.74,-11.29
101207,ABSL Small Cap Fund - Regular - Growth,-2.6,-3.25,-35.45
101208,ABSL Liquid Fund - Regular - Growth,-0.03,-0.04,-0.16
102885,UTI Nifty 50 Index Fund - Regular - Growth,-1.26,-1.55,-10.86
102886,UTI Mid Cap Fund - Regular - Growth,-1.92,-2.33,-28.0
102887,UTI Flexi Cap Fund - Regular - Growth,-1.52,-1.94,-21.54
118632,Nippon India Large Cap Fund - Regular - Growth,-1.4,-1.76,-17.41
118633,Nippon India Large Cap Fund - Direct - Growth,-1.34,-1.66,-18.63
118634,Nippon India Small Cap Fund - Regular - Growth,-2.54,-3.23,-23.34
118635,Nippon India ETF Nifty 50 BeES,-1.26,-1.62,-11.65
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.38,-0.49,-8.32
119092,Axis Bluechip Fund - Regular - Growth,-1.37,-1.73,-14.4
119093,Axis Bluechip Fund - Direct - Growth,-1.42,-1.75,-21.75
119094,Axis Midcap Fund - Regular - Growth,-1.85,-2.43,-20.96
119095,Axis Small Cap Fund - Regular - Growth,-2.62,-3.17,-51.68
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.39,-0.5,-4.33
119551,SBI Bluechip Fund - Regular Plan - Growth,-1.28,-1.64,-15.01
119552,SBI Bluechip Fund - Direct Plan - Growth,-1.35,-1.73,-11.8
119598,SBI Small Cap Fund - Regular Plan - Growth,-2.45,-3.06,-28.71
119599,SBI Small Cap Fund - Direct Plan - Growth,-2.69,-3.24,-52.57
120503,ICICI Pru Bluechip Fund - Regular - Growth,-1.36,-1.75,-13.9
120504,ICICI Pru Bluechip Fund - Direct - Growth,-1.37,-1.75,-12.59
120505,ICICI Pru Midcap Fund - Regular - Growth,-1.89,-2.43,-18.19
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-1.44,-1.94,-19.83
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.02,-0.04,-0.1
120841,Kotak Bluechip Fund - Regular - Growth,-1.31,-1.64,-17.57
120842,Kotak Emerging Equity Fund - Regular - Growth,-1.82,-2.27,-24.0
120843,Kotak Flexicap Fund - Regular - Growth,-1.45,-1.84,-12.97
120844,Kotak Liquid Fund - Regular - Growth,-0.03,-0.04,-0.12
125497,HDFC Top 100 Fund - Direct Plan - Growth,-1.46,-1.83,-15.2
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-1.84,-2.31,-21.12
148567,Mirae Asset Large Cap Fund - Regular - Growth,-1.36,-1.76,-11.27
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-1.47,-1.88,-15.27
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-1.71,-2.13,-16.4
149322,DSP Top 100 Equity Fund - Regular - Growth,-1.45,-1.84,-14.84
149323,DSP Midcap Fund - Regular - Growth,-1.79,-2.26,-17.25
149324,DSP Small Cap Fund - Regular - Growth,-2.35,-3.1,-31.17
